Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,ARS,666,60000,493.0,14.0,80.0,11.248710870742798,493.0
CartPole-v1,ARS,666,65000,500.0,0.0,100.0,12.208415269851685,500.0
CartPole-v1,ARS,666,70000,500.0,0.0,100.0,13.018242359161377,500.0
CartPole-v1,ARS,666,75000,500.0,0.0,100.0,14.016355991363525,500.0
CartPole-v1,ARS,666,80000,500.0,0.0,100.0,15.174721479415894,500.0
CartPole-v1,ARS,666,85000,500.0,0.0,100.0,16.133809089660645,500.0
CartPole-v1,ARS,666,90000,500.0,0.0,100.0,17.23488688468933,500.0
CartPole-v1,ARS,666,95000,500.0,0.0,100.0,18.17369031906128,500.0
CartPole-v1,ARS,666,100000,500.0,0.0,100.0,19.042182683944702,500.0
CartPole-v1,TRPO,7,5000,380.6,105.42789004812721,40.0,1.8553080558776855,380.6
CartPole-v1,TRPO,7,10000,397.0,93.31880839359233,40.0,3.6438345909118652,397.0
CartPole-v1,TRPO,7,15000,500.0,0.0,100.0,5.502581357955933,500.0
CartPole-v1,TRPO,7,20000,500.0,0.0,100.0,7.39475417137146,500.0
CartPole-v1,TRPO,7,25000,500.0,0.0,100.0,9.496333599090576,500.0
CartPole-v1,TRPO,7,30000,500.0,0.0,100.0,11.496992349624634,500.0
CartPole-v1,TRPO,7,35000,500.0,0.0,100.0,13.279580354690552,500.0
CartPole-v1,TRPO,7,40000,500.0,0.0,100.0,15.170486688613892,500.0
CartPole-v1,TRPO,7,45000,500.0,0.0,100.0,17.080167770385742,500.0
CartPole-v1,TRPO,7,50000,500.0,0.0,100.0,18.897664070129395,500.0
CartPole-v1,TRPO,7,55000,500.0,0.0,100.0,20.762418508529663,500.0
CartPole-v1,TRPO,7,60000,500.0,0.0,100.0,22.5611412525177,500.0
CartPole-v1,TRPO,7,65000,500.0,0.0,100.0,24.401421308517456,500.0
CartPole-v1,TRPO,7,70000,500.0,0.0,100.0,26.208442211151123,500.0
CartPole-v1,TRPO,7,75000,500.0,0.0,100.0,28.074941158294678,500.0
CartPole-v1,TRPO,7,80000,500.0,0.0,100.0,29.984679222106934,500.0
